model,image,processing_time,cer,wer,similarity
easyocr,1.jpg,7.544728517532349,0.12096774193548387,0.4,0.8220338983050848
tesseract,1.jpg,0.3631408214569092,0.14516129032258066,0.5230769230769231,0.6335877862595419
paddleocr,1.jpg,2.928825616836548,0.06451612903225806,0.13846153846153847,0.7479674796747967
